V1	V2	V3	V4	V5	v5ny	global_MF	ZV3	ZV4	Zv5ny	lokal_MF	FAC1_1	FAC1_2
Algeria	1986	1287,2534	2627	0,0223040335	22,304033528	-0,6790568958	-1,007307174	-0,4604413494	-0,1812930668	-1,1309792107	-1,1309792107	-0,6790568958
Algeria	1987	1271,7533	2631	0,0170135153	17,0135152625	-0,7277844962	-1,0181400433	-0,452316906	-0,3300273696	-1,5483364604	-1,5483364604	-0,7277844962
Algeria	1988	1251,9559	2696	0,0236970641	23,6970641096	-0,6177014394	-1,0319762538	-0,3202947011	-0,1421302812	-0,9037240321	-0,9037240321	-0,6177014394
Algeria	1989	1297,5992	2760	0,0333772695	33,3772694929	-0,4621703532	-1,0000765949	-0,190303607	0,1300129241	0,0915820519	0,0915820519	-0,4621703532
Algeria	1990	1208,6744	2754	0,0214580863	21,4580862753	-0,6008195735	-1,0622252737	-0,2024902721	-0,2050754957	-0,9959318357	-0,9959318357	-0,6008195735
Algeria	1991	1319,471	2733	0,020282286	20,282286032	-0,5966580705	-0,9847906064	-0,2451435998	-0,2381312042	-0,9260542421	-0,9260542421	-0,5966580705
Algeria	1992	1349,1301	2865	0,0204196804	20,4196803843	-0,4732653635	-0,9640621496	0,0229630317	-0,2342685858	-0,4915067242	-0,4915067242	-0,4732653635
Algeria	1993	1406,804	2865	0,0220478209	22,0478208975	-0,4415630986	-0,9237544213	0,0229630317	-0,1884960675	-0,2562147771	-0,2562147771	-0,4415630986
Algeria	1994	1333,4907	2763	0,0262463371	26,2463370786	-0,5131062597	-0,9749923743	-0,1842102745	-0,0704616245	-0,3665741947	-0,3665741947	-0,5131062597
Algeria	1995	1410,8018	2785	0	20	-0,5275143997	-0,9209603977	-0,1395258359	-0,2460672162	-0,6244623217	-0,6244623217	-0,5275143997
Algeria	1996	1297,0185	2784	0,0153549378	15,3549377537	-0,6038046496	-1,0004824405	-0,1415569467	-0,3766555744	-1,1992774444	-1,1992774444	-0,6038046496
Algeria	1997	1258,9409	2733	0,0199663671	19,9663671325	-0,6174041861	-1,0270945052	-0,2451435998	-0,2470127494	-1,0681765065	-1,0681765065	-0,6174041861
Algeria	1998	1339,7491	2792	0,0203346459	20,3346458974	-0,539509721	-0,9706184394	-0,12530806	-0,2366591919	-0,7187777924	-0,7187777924	-0,539509721
Algeria	1999	1400,0287	2843	0,0265939368	26,5939367717	-0,4215806	-0,9284896126	-0,0217214069	-0,0606894253	0,0116295744	0,0116295744	-0,4215806
Algeria	2000	1358,4263	2812	0,0256818022	25,6818021685	-0,4687177261	-0,9575651258	-0,0846858431	-0,0863326038	-0,2243610965	-0,2243610965	-0,4687177261
Algeria	2001	1369,6288	2886	0,024042027	24,0420270299	-0,4165870884	-0,9497358074	0,0656163595	-0,1324322107	-0,1205585474	-0,1205585474	-0,4165870884
Algeria	2002	1449,2821	2925	0,0298029984	29,8029983653	-0,3077162526	-0,8940668899	0,1448296824	0,0295281138	0,5769331203	0,5769331203	-0,3077162526
Algeria	2003	1574,5807	2970	0,0248413874	24,8413873856	-0,2766195043	-0,8064969158	0,2362296704	-0,1099594964	0,5733647663	0,5733647663	-0,2766195043
Algeria	2004	1770,7094	2987	0,026071789	26,071789	-0,1929363146	-0,669424473	0,2707585548	-0,0753687594	1,0965923097	1,0965923097	-0,1929363146
Algeria	2005	1782,9556	2958	0,0275465107	27,5465107233	-0,2009615203	-0,6608657228	0,2118563403	-0,0339093604	1,1510620053	1,1510620053	-0,2009615203
Algeria	2006	1729,1074	3047	0,0262649009	26,2649008964	-0,1519675308	-0,6984997066	0,3926252055	-0,069939733	1,1962491435	1,1962491435	-0,1519675308
Algeria	2007	1656,1729	3041	0,0265323206	26,5323205573	-0,1762906613	-0,74947292	0,3804385404	-0,0624216648	1,0571281615	1,0571281615	-0,1762906613
Algeria	2008	1635,387	3048	0,0299089301	29,9089300952	-0,1460600208	-0,7639999835	0,3946563163	0,0325062118	1,2900227425	1,2900227425	-0,1460600208
