Afghanistan,Asia,Southern Asia
Albania,Europe,Southern Europe
Algeria,Africa,Northern Africa
Angola,Africa,Sub-Saharan Africa
Antigua and Barbuda,Americas,Latin America and the Caribbean
Argentina,Americas,Latin America and the Caribbean
Australia,Oceania,Australia and New Zealand
Austria,Europe,Western Europe
Bahamas,Americas,Latin America and the Caribbean
Bangladesh,Asia,Southern Asia
Barbados,Americas,Latin America and the Caribbean
Belize,Americas,Latin America and the Caribbean
Benin,Africa,Sub-Saharan Africa
Bermuda,Americas,Northern America
Bolivia (Plurinational State of),Americas,Latin America and the Caribbean
Botswana,Africa,Sub-Saharan Africa
Brazil,Americas,Latin America and the Caribbean
Brunei Darussalam,Asia,South-eastern Asia
Bulgaria,Europe,Eastern Europe
Burkina Faso,Africa,Sub-Saharan Africa
Cabo Verde,Africa,Sub-Saharan Africa
Cambodia,Asia,South-eastern Asia
Cameroon,Africa,Sub-Saharan Africa
Canada,Americas,Northern America
Central African Republic,Africa,Sub-Saharan Africa
Chad,Africa,Sub-Saharan Africa
Chile,Americas,Latin America and the Caribbean
China,Asia,Eastern Asia
Colombia,Americas,Latin America and the Caribbean
Congo,Africa,Sub-Saharan Africa
Costa Rica,Americas,Latin America and the Caribbean
C�te d'Ivoire,Africa,Sub-Saharan Africa
Cuba,Americas,Latin America and the Caribbean
Cyprus,Asia,Western Asia
Democratic People's Republic of Korea,Asia,Eastern Asia
Denmark,Europe,Northern Europe
Djibouti,Africa,Sub-Saharan Africa
Dominica,Americas,Latin America and the Caribbean
Dominican Republic,Americas,Latin America and the Caribbean
Ecuador,Americas,Latin America and the Caribbean
Egypt,Africa,Northern Africa
El Salvador,Americas,Latin America and the Caribbean
Fiji,Oceania,Melanesia
Finland,Europe,Northern Europe
France,Europe,Western Europe
French Polynesia,Oceania,Polynesia
Gabon,Africa,Sub-Saharan Africa
Gambia,Africa,Sub-Saharan Africa
Germany,Europe,Western Europe
Ghana,Africa,Sub-Saharan Africa
Greece,Europe,Southern Europe
Grenada,Americas,Latin America and the Caribbean
Guatemala,Americas,Latin America and the Caribbean
Guinea,Africa,Sub-Saharan Africa
Guinea-Bissau,Africa,Sub-Saharan Africa
Guyana,Americas,Latin America and the Caribbean
Haiti,Americas,Latin America and the Caribbean
Honduras,Americas,Latin America and the Caribbean
Hungary,Europe,Eastern Europe
Iceland,Europe,Northern Europe
India,Asia,Southern Asia
Indonesia,Asia,South-eastern Asia
Iran (Islamic Republic of),Asia,Southern Asia
Iraq,Asia,Western Asia
Ireland,Europe,Northern Europe
Israel,Asia,Western Asia
Italy,Europe,Southern Europe
Jamaica,Americas,Latin America and the Caribbean
Japan,Asia,Eastern Asia
Jordan,Asia,Western Asia
Kenya,Africa,Sub-Saharan Africa
Kiribati,Oceania,Micronesia
Kuwait,Asia,Western Asia
Lao People's Democratic Republic,Asia,South-eastern Asia
Lebanon,Asia,Western Asia
Lesotho,Africa,Sub-Saharan Africa
Liberia,Africa,Sub-Saharan Africa
Madagascar,Africa,Sub-Saharan Africa
Malawi,Africa,Sub-Saharan Africa
Malaysia,Asia,South-eastern Asia
Maldives,Asia,Southern Asia
Mali,Africa,Sub-Saharan Africa
Malta,Europe,Southern Europe
Mauritania,Africa,Sub-Saharan Africa
Mauritius,Africa,Sub-Saharan Africa
Mexico,Americas,Latin America and the Caribbean
Mongolia,Asia,Eastern Asia
Morocco,Africa,Northern Africa
Mozambique,Africa,Sub-Saharan Africa
Myanmar,Asia,South-eastern Asia
Namibia,Africa,Sub-Saharan Africa
Nepal,Asia,Southern Asia
Netherlands,Europe,Western Europe
New Caledonia,Oceania,Melanesia
New Zealand,Oceania,Australia and New Zealand
Nicaragua,Americas,Latin America and the Caribbean
Niger,Africa,Sub-Saharan Africa
Nigeria,Africa,Sub-Saharan Africa
Norway,Europe,Northern Europe
Pakistan,Asia,Southern Asia
Panama,Americas,Latin America and the Caribbean
Paraguay,Americas,Latin America and the Caribbean
Peru,Americas,Latin America and the Caribbean
Philippines,Asia,South-eastern Asia
Poland,Europe,Eastern Europe
Portugal,Europe,Southern Europe
Republic of Korea,Asia,Eastern Asia
Romania,Europe,Eastern Europe
Rwanda,Africa,Sub-Saharan Africa
Saint Kitts and Nevis,Americas,Latin America and the Caribbean
Saint Lucia,Americas,Latin America and the Caribbean
Saint Vincent and the Grenadines,Americas,Latin America and the Caribbean
Samoa,Oceania,Polynesia
Sao Tome and Principe,Africa,Sub-Saharan Africa
Saudi Arabia,Asia,Western Asia
Senegal,Africa,Sub-Saharan Africa
Sierra Leone,Africa,Sub-Saharan Africa
Solomon Islands,Oceania,Melanesia
South Africa,Africa,Sub-Saharan Africa
Spain,Europe,Southern Europe
Sri Lanka,Asia,Southern Asia
Suriname,Americas,Latin America and the Caribbean
Swaziland,Africa,Sub-Saharan Africa
Sweden,Europe,Northern Europe
Switzerland,Europe,Western Europe
Thailand,Asia,South-eastern Asia
Timor-Leste,Asia,South-eastern Asia
Togo,Africa,Sub-Saharan Africa
Trinidad and Tobago,Americas,Latin America and the Caribbean
Tunisia,Africa,Northern Africa
Turkey,Asia,Western Asia
Uganda,Africa,Sub-Saharan Africa
United Arab Emirates,Asia,Western Asia
United Kingdom,Europe,Northern Europe
United Republic of Tanzania,Africa,Sub-Saharan Africa
United States of America,Americas,Northern America
Uruguay,Americas,Latin America and the Caribbean
Vanuatu,Oceania,Melanesia
Venezuela (Bolivarian Republic of),Americas,Latin America and the Caribbean
Viet Nam,Asia,South-eastern Asia
Yemen,Asia,Western Asia
Zambia,Africa,Sub-Saharan Africa
Zimbabwe,Africa,Sub-Saharan Africa
