Afghanistan,Bovine Meat,Protein supply quantity (g/capita/day),1.99,2.27,2.17,2.84,2.09,2.0
Afghanistan,Mutton & Goat Meat,Protein supply quantity (g/capita/day),3.11,3.62,4.45,4.14,2.63,2.14
Afghanistan,Poultry Meat,Protein supply quantity (g/capita/day),0.22,0.3,0.34,0.35,0.22,0.94
Afghanistan,Meat,Protein supply quantity (g/capita/day),5.68,6.67,7.43,7.74,5.15,5.25
Afghanistan,Offals,Protein supply quantity (g/capita/day),1.29,1.65,1.61,1.46,0.88,0.85
Albania,Bovine Meat,Protein supply quantity (g/capita/day),1.82,2.03,2.16,4.77,4.74,8.85
Albania,Mutton & Goat Meat,Protein supply quantity (g/capita/day),2.95,1.98,1.67,1.35,2.23,4.76
Albania,Pigmeat,Protein supply quantity (g/capita/day),0.56,0.77,0.83,0.69,1.65,2.77
Albania,Poultry Meat,Protein supply quantity (g/capita/day),0.34,0.64,1.09,1.1,2.84,5.01
Albania,Meat,Protein supply quantity (g/capita/day),5.68,5.42,5.74,7.9,11.49,21.41
Albania,Offals,Protein supply quantity (g/capita/day),1.28,1.02,0.98,0.87,1.68,1.7
Algeria,Bovine Meat,Protein supply quantity (g/capita/day),1.79,1.01,1.33,1.66,1.37,1.98
Algeria,Mutton & Goat Meat,Protein supply quantity (g/capita/day),1.37,1.26,1.44,2.09,2.03,2.62
Algeria,Pigmeat,Protein supply quantity (g/capita/day),0.43,0.0,0.0,0.0,0.0,0.0
Algeria,Poultry Meat,Protein supply quantity (g/capita/day),0.54,0.56,1.06,2.17,2.25,2.28
Algeria,Meat,Protein supply quantity (g/capita/day),4.32,3.04,4.05,6.08,5.8,7.02
Algeria,Offals,Protein supply quantity (g/capita/day),0.47,0.42,0.44,0.6,0.51,0.6
Angola,Bovine Meat,Protein supply quantity (g/capita/day),1.34,2.77,3.97,3.11,3.65,2.99
Angola,Mutton & Goat Meat,Protein supply quantity (g/capita/day),0.13,0.18,0.21,0.21,0.38,0.45
Angola,Pigmeat,Protein supply quantity (g/capita/day),0.45,0.46,0.74,0.8,0.91,2.2
Angola,Poultry Meat,Protein supply quantity (g/capita/day),0.2,0.33,0.42,0.7,0.98,5.16
Angola,Meat,Protein supply quantity (g/capita/day),2.52,4.23,5.72,5.09,6.17,11.02
Angola,Offals,Protein supply quantity (g/capita/day),0.42,0.68,0.65,0.64,0.63,0.54
Antigua and Barbuda,Bovine Meat,Protein supply quantity (g/capita/day),5.28,5.44,4.93,7.6,3.5,5.76
Antigua and Barbuda,Mutton & Goat Meat,Protein supply quantity (g/capita/day),0.35,0.5,0.59,0.8,1.11,0.75
Antigua and Barbuda,Pigmeat,Protein supply quantity (g/capita/day),1.39,2.45,2.47,1.68,2.05,3.18
Antigua and Barbuda,Poultry Meat,Protein supply quantity (g/capita/day),1.34,3.36,9.12,18.47,16.13,18.62
Antigua and Barbuda,Meat,Protein supply quantity (g/capita/day),8.57,12.99,17.14,28.55,22.78,28.55
Antigua and Barbuda,Offals,Protein supply quantity (g/capita/day),0.4,0.42,0.55,0.93,0.66,1.4
Argentina,Bovine Meat,Protein supply quantity (g/capita/day),41.15,30.49,41.8,32.58,27.99,27.02
Argentina,Mutton & Goat Meat,Protein supply quantity (g/capita/day),2.41,2.4,1.29,0.92,0.62,0.61
Argentina,Pigmeat,Protein supply quantity (g/capita/day),2.67,3.11,2.73,1.39,2.12,2.67
Argentina,Poultry Meat,Protein supply quantity (g/capita/day),0.65,2.78,3.57,4.06,8.62,12.33
Argentina,Meat,Protein supply quantity (g/capita/day),47.32,39.38,50.03,39.6,40.14,43.22
Argentina,Offals,Protein supply quantity (g/capita/day),4.01,4.23,4.0,3.32,3.02,2.65
Australia,Bovine Meat,Protein supply quantity (g/capita/day),15.68,17.15,19.66,16.93,16.09,15.75
Australia,Mutton & Goat Meat,Protein supply quantity (g/capita/day),15.41,13.57,6.86,7.24,4.97,3.03
Australia,Pigmeat,Protein supply quantity (g/capita/day),2.53,3.29,3.8,4.36,4.32,5.45
Australia,Poultry Meat,Protein supply quantity (g/capita/day),1.69,3.97,6.9,8.37,10.97,15.74
Australia,Meat,Protein supply quantity (g/capita/day),36.42,38.54,38.29,38.87,37.94,41.03
Australia,Offals,Protein supply quantity (g/capita/day),3.99,4.87,4.89,4.99,5.2,3.82
Austria,Bovine Meat,Protein supply quantity (g/capita/day),7.09,8.71,10.06,9.07,7.34,6.93
Austria,Mutton & Goat Meat,Protein supply quantity (g/capita/day),0.19,0.1,0.19,0.39,0.42,0.39
Austria,Pigmeat,Protein supply quantity (g/capita/day),11.82,13.34,17.89,19.01,16.06,15.1
Austria,Poultry Meat,Protein supply quantity (g/capita/day),1.56,3.34,4.35,5.81,7.42,7.95
Austria,Meat,Protein supply quantity (g/capita/day),21.5,25.94,32.97,34.83,31.67,30.91
Austria,Offals,Protein supply quantity (g/capita/day),1.74,1.86,2.34,1.96,0.42,0.24
Bahamas,Bovine Meat,Protein supply quantity (g/capita/day),16.37,14.31,11.74,11.02,9.36,7.65
Bahamas,Mutton & Goat Meat,Protein supply quantity (g/capita/day),1.57,1.51,1.43,2.19,2.05,1.0
Bahamas,Pigmeat,Protein supply quantity (g/capita/day),5.77,6.69,6.56,6.48,7.3,8.01
Bahamas,Poultry Meat,Protein supply quantity (g/capita/day),2.86,7.37,10.69,12.47,18.54,19.13
Bahamas,Meat,Protein supply quantity (g/capita/day),26.59,30.33,30.53,32.19,39.31,35.92
Bahamas,Offals,Protein supply quantity (g/capita/day),0.26,0.17,0.54,0.89,1.97,1.59
Bangladesh,Bovine Meat,Protein supply quantity (g/capita/day),0.99,0.89,0.62,0.55,0.56,0.54
Bangladesh,Mutton & Goat Meat,Protein supply quantity (g/capita/day),0.23,0.21,0.12,0.31,0.41,0.56
Bangladesh,Pigmeat,Protein supply quantity (g/capita/day),0.0,0.0,0.0,0.0,0.0,0.0
Bangladesh,Poultry Meat,Protein supply quantity (g/capita/day),0.11,0.26,0.2,0.26,0.31,0.43
Bangladesh,Meat,Protein supply quantity (g/capita/day),1.36,1.43,1.0,1.16,1.34,1.6
Bangladesh,Offals,Protein supply quantity (g/capita/day),0.31,0.29,0.2,0.21,0.22,0.26
Barbados,Bovine Meat,Protein supply quantity (g/capita/day),5.98,9.32,11.91,6.83,6.91,6.67
Barbados,Mutton & Goat Meat,Protein supply quantity (g/capita/day),0.43,2.19,1.35,4.27,1.8,1.38
Barbados,Pigmeat,Protein supply quantity (g/capita/day),5.47,7.82,8.02,5.1,1.21,1.59
Barbados,Poultry Meat,Protein supply quantity (g/capita/day),0.8,5.32,10.58,14.01,14.69,14.76
Barbados,Meat,Protein supply quantity (g/capita/day),12.71,24.71,31.86,31.11,24.61,24.4
Barbados,Offals,Protein supply quantity (g/capita/day),0.32,0.79,1.15,1.39,1.7,1.32
Belize,Bovine Meat,Protein supply quantity (g/capita/day),6.66,3.81,4.66,3.72,2.59,2.28
Belize,Mutton & Goat Meat,Protein supply quantity (g/capita/day),0.03,0.04,0.09,0.01,0.02,0.03
Belize,Pigmeat,Protein supply quantity (g/capita/day),2.94,3.79,4.0,2.04,3.13,4.69
Belize,Poultry Meat,Protein supply quantity (g/capita/day),0.89,4.12,5.46,6.44,9.78,8.41
Belize,Meat,Protein supply quantity (g/capita/day),10.53,11.77,14.22,12.21,15.53,15.55
Belize,Offals,Protein supply quantity (g/capita/day),0.46,0.53,0.59,0.52,0.45,0.34
Benin,Bovine Meat,Protein supply quantity (g/capita/day),0.95,1.09,1.34,1.33,1.07,1.28
Benin,Mutton & Goat Meat,Protein supply quantity (g/capita/day),0.31,0.38,0.6,0.44,0.35,0.33
Benin,Pigmeat,Protein supply quantity (g/capita/day),0.35,0.44,0.44,0.35,0.16,0.27
Benin,Poultry Meat,Protein supply quantity (g/capita/day),0.5,0.62,1.16,0.92,2.76,6.12
Benin,Meat,Protein supply quantity (g/capita/day),3.11,3.68,4.32,3.6,5.01,8.42
Benin,Offals,Protein supply quantity (g/capita/day),0.35,0.44,0.51,0.46,0.37,0.43
Bermuda,Bovine Meat,Protein supply quantity (g/capita/day),20.79,15.81,20.16,13.61,14.57,19.56
Bermuda,Mutton & Goat Meat,Protein supply quantity (g/capita/day),1.97,2.05,1.76,1.78,0.83,3.16
Bermuda,Pigmeat,Protein supply quantity (g/capita/day),4.11,5.95,6.9,5.3,4.57,5.06
Bermuda,Poultry Meat,Protein supply quantity (g/capita/day),5.6,7.27,9.0,15.62,13.39,14.54
Bermuda,Meat,Protein supply quantity (g/capita/day),32.46,31.09,38.21,36.53,33.49,42.32
Bermuda,Offals,Protein supply quantity (g/capita/day),0.12,0.11,0.1,0.09,0.04,0.17
