ida,idb,kmdist
USA,CAN,731
USA,BHS,1623
USA,CUB,1813
USA,HTI,2286
USA,DOM,2358
USA,JAM,2315
USA,TTO,3494
USA,BRB,3330
USA,DMA,3208
USA,GRN,3332
USA,SLU,3180
USA,SVG,3240
USA,AAB,2834
USA,SKN,2760
USA,BLZ,2606
USA,MEX,3024
USA,GTM,2993
USA,HND,2922
USA,SLN,3024
USA,NIC,3103
USA,CRI,3282
USA,PAN,3325
USA,COL,3808
USA,VEN,3349
USA,GUY,4009
USA,SUR,4273
USA,ECU,4314
USA,PER,5651
USA,BRA,6722
USA,BOL,6170
USA,PRY,7383
USA,CHL,8015
USA,ARG,8318
USA,URY,8382
USA,UK,5932
USA,IRL,5445
USA,NLD,6198
USA,BEL,6246
USA,LUX,6381
USA,FRA,6194
USA,MNC,6752
USA,LIE,6727
USA,CHE,6629
USA,ESP,6105
USA,AND,6383
USA,PRT,5759
USA,GMY,6739
USA,GFR,6432
USA,GDR,6739
USA,POL,7197
USA,AUH,7130
USA,AUT,7130
USA,HUN,7368
USA,CZE,6905
USA,CZE,6905
USA,SVK,7183
USA,ITA,7273
USA,SNM,7104
USA,MLT,7727
USA,ALB,7777
USA,SRB,7635
USA,MNE,7654
USA,MKD,7833
USA,HRV,7275
USA,YUG,7635
USA,BHI,7562
USA,SLN,7122
USA,GRC,8244
USA,CYP,9119
USA,BGR,7952
USA,MDA,7970
USA,ROU,8006
USA,RUS,7873
USA,EST,6981
USA,LVA,7126
USA,LTU,7320
USA,UKR,7858
USA,BLR,7500
USA,ARM,9418
USA,GEO,9433
USA,AZE,9708
USA,FIN,6934
USA,SWE,6647
USA,NOR,6260
USA,DNK,6535
USA,ISL,4526
USA,CPV,5715
USA,STP,9412
USA,GNB,6761
USA,GNQ,9602
USA,GNB,6540
USA,MLI,7353
USA,SEN,6400
USA,BEN,8686
USA,MRT,6270
USA,NER,8166
USA,CIV,7994
USA,GIN,7073
USA,BFA,7917
USA,LBR,7527
USA,SLE,7172
USA,GHA,8540
USA,TGO,8559
USA,CMR,9657
USA,NGA,8744
USA,GAB,9696
USA,CAF,10209
USA,TCD,9338
USA,COG,10484
USA,COD,10484
USA,UGA,11674
USA,KEN,12116
USA,TAZ,12691
USA,ZAN,12686
USA,BDI,11623
USA,RWA,11557
USA,SOM,12582
USA,DJI,11654
USA,ETH,11513
USA,ERI,11041
USA,AGO,10578
USA,MOZ,13403
USA,ZMB,12375
USA,ZWE,12721
USA,MWI,12690
USA,ZAF,12989
USA,TRA,12989
USA,OFS,13048
USA,NAM,11858
USA,LSO,13123
USA,BWA,12730
USA,SWZ,13287
USA,MDG,14225
USA,COM,13383
USA,MUS,15205
USA,SEY,13912
USA,MAR,6187
USA,DZA,6824
USA,TUN,7377
USA,LBY,7874
USA,SDN,10577
USA,IRN,10233
USA,TUR,8782
USA,IRQ,9988
USA,EGY,9355
USA,SYR,9470
USA,LBN,9411
USA,JOR,9598
USA,ISR,9449
USA,SAU,10899
USA,YAR,11457
USA,YEM,11457
USA,YPR,11758
USA,KWT,10554
USA,BHR,11017
USA,QAT,11059
USA,ARE,11388
USA,OMN,11715
USA,AFG,11184
USA,TKM,10407
USA,TJK,10774
USA,KGZ,10566
USA,UZB,10494
USA,KAZ,10540
USA,CHN,11236
USA,TBT,12293
USA,MNG,10445
USA,TWN,12648
USA,KOR,11218
USA,PRK,11046
USA,KOR,11218
USA,JPN,10960
USA,IND,12106
USA,BTN,12551
USA,PAK,11431
USA,BGD,13000
USA,MMR,13859
USA,LKA,14469
USA,NPL,12451
USA,MDV,14406
USA,THA,14227
USA,KHM,14454
USA,LAO,13787
USA,VNM,14478
USA,DRV,13347
USA,RVN,14478
USA,MYS,15350
USA,SGP,15572
